Physics,Sections,CFG,mse,var_diff,FID
cossched,seccos15,2,567.3661921024323,26.555877586841007,102.8365098326231
nophys,sec30,6,1153.334496164322,26.534200441824897,113.06035752307628
cossched,sec20,3,627.3902987957001,24.1143382726216,101.8805011561326
cossched,seccos15,8,3124.7767172813415,15.372828784305327,111.30180257150451
cossched,sec30,6,1458.7246590614318,25.358090791992396,109.79366555016286
nophys,sec15,7,1648.1095225930214,27.923000994367534,119.02473617113813
nophys,seccos25,1,58.047755813598634,30.63735658500488,101.61323890673582
nophys,sec10,3,172.8955199956894,17.73955339649196,114.06413133490699
nophys,seccos15,6,1257.4311098575592,22.42978675123546,115.75326950847531
cossched,sec10,8,738.4036684989929,57.97529092188232,111.06169016318145
nophys,sec10,5,693.178176522255,17.893933625048604,118.17014854259494
cossched,seccos25,1,284.05854244232177,23.96804819446755,98.10278893036028
nophys,sec15,2,102.87751655578613,26.222592385451037,111.12335748296243
cossched,seccos10,3,964.5886458396911,22.455253244960566,106.35165281095831
cossched,seccos30,2,329.2230745315552,32.1918648097824,103.12854699709797
nophys,seccos25,3,314.7206136226654,20.7111994883145,107.26769355528043
nophys,sec25,7,1867.4254017829894,33.456930599022016,124.32333887701569
nophys,sec10,2,63.334314012527464,16.70373386365726,116.12382524948802
nophys,sec25,1,40.913433170318605,35.974298276987525,109.45604831818869
cossched,sec20,8,2614.0832607507705,14.237403228927402,112.90362155059638
nophys,seccos30,1,49.49381427764892,33.81040099788472,105.18538315479103
nophys,sec25,6,1743.4371888399123,30.041589388852447,120.81096188266648
cossched,sec15,7,3141.318761539459,21.809013428556586,112.7813440360703
nophys,seccos20,4,739.5703029632568,21.87129823016678,112.20656406111206
nophys,seccos15,4,685.4703934669494,22.65687022345274,112.70024270878453
nophys,seccos30,2,62.11958780288696,30.251539353563015,108.81634837580313
cossched,seccos20,2,457.36643342971803,23.955678159837806,105.0138035830075
nophys,seccos10,7,1213.9497702598571,30.021088128210135,114.06451965397805
cossched,seccos20,1,400.0330819606781,25.67728763633758,101.4409637773554
nophys,sec30,7,1373.8129612445832,25.276839446970655,118.96200915413844
nophys,sec15,3,388.05771865844724,19.09756725362015,114.09192982002227
cossched,sec10,6,852.6569383621215,34.870768010155295,112.84396070696255
cossched,sec30,3,534.56043446064,27.36169079037274,97.59608735647195
cossched,seccos30,1,312.7248949050903,33.15649402086266,97.79508990802405
nophys,sec15,4,869.2883553266525,18.955383540826862,120.1178364262399
cossched,sec20,4,1105.40501537323,21.7321060956289,103.30648393392269
cossched,seccos15,3,868.6956179618835,27.836410697775584,103.00090924232609
nophys,sec25,5,1384.074338054657,25.57452823421274,117.18896324814395
cossched,seccos30,7,2178.2590354919435,20.197164583215518,105.27428891857048
nophys,seccos10,4,710.5214008331299,19.303211964538086,114.91646519834974
